№;Название;Описание;Цена;Описание к цене;Изображение;Дополнительное изображение
1;Anthurium Pentaphyllum;Форма роста лиана. Листья довольно крупные, около 25см, но могу достигать и более крупных размеров. В уходе не сложен. Предпочитает повышенную влажность воздуха, северное или восточное окно. ;-;;anthurium_pentaphyllum.jpg;
2;Anthurium Polystichum;Форма роста лиана. Темп роста средний. Довольно компактное растение с некрупными, около 10-15 см, ажурными листьями. В уходе не сложен. Предпочитает повышенную влажность воздуха, северное или восточное окно. ;-;временно нет;anthurium_polystichum.jpg;
3;Anthurium Variabile ;Форма роста лиана. Листья перистые,около 15см, но могу достигать и более крупных размеров. В уходе не сложен. Предпочитает повышенную влажность воздуха, северное или восточное окно. ;-;;anthurium_variabile.jpg;
4;Epipremnum Aureum "N" Joy";Форма роста лиана/ампель.Темп роста довольно быстрый. Листья около 5см, гафрированные, тёмно-зелёные с большим колисеством белых и кремово-зелёных пятен. Нуждается в притенении.;35; укоренённый черенок;epipr_n_joy.jpg;
5;Epipremnum cv "Fish bone";новинка! Форма роста лиана. Темп роста выше среднего. Очень интересный сорт. Листья крупные, многорассеченные. Междоузлия длинные. Растение нуждается в опоре.Нуждается в притенении.;-;временно нет;epipr_fish_bone.jpg;
6;Epipremnum sp.;Форма роста лиана. Темп роста средний. Листья довольно крупные, тёмно-зелёные, бархатистые. Растение нуждается в опоре. Теневынослиивый сорт.;-;временно нет;epipr_sp.jpg;
7;Epipremnum sp. variegata ;новинка!;-;;epipremnum_sp_var.jpg;
8;Epipremnum сv "Blue Velvet";новинка! Форма роста лиана. Темп роста медленный. Листья продолговатые, глянцевые, тёмно-изумрудного цвета. Междоузлия и черешки короткие. Теневыносливый сорт.;-;временно нет;epipr_blue_velvet.jpg;
9;Epipremnum сv "Exotica";новинка! Форма роста лиана. Листовая пластинка покрыта широкими пятнами и дилнными мазками серебристого цвета.Расположение у западных и восточных окон,содержать при 20-25°С,полив круглый год умеренный.;-;временно нет;epipr_exotica.jpg;
10;Ficus Amstel "Green Gold";Форма роста - дерево/куст. Листья вытянутые, длиной около 10 см, окрашены в зелёный с салатовыми мазками. Темп роста средний. Теневынослив.;40;укоренённый черенок около 15см;ficus_amstel_green_gold.jpg;
11;Ficus Barocko "Irene";Форма роста - дерево/куст. Листья около 3,5 см. имеют причудливую форму. Темп роста ниже среднего. Светолюбив.;-;временно нет;ficus_irene.jpg;
12;Ficus Benjamina ‘Natasja" variegated;Форма роста - дерево/куст. Мелколистный сорт.Листья светло-зелёные с кремово-белой окантовкой. Лист немного сложен вдоль центральной жилки. Темп роста средний;30;укоренённый черенок около 15см;natasja_var.jpg;
13;Ficus Benjamina "Curly";Форма роста - дерево/куст. Листья тёмно-зелёные, волнистые, покрыты белыми пятнами разного размера. Часть листьев может быть полностью белой. Темп роста средний. Теневынослив. ;30;укоренённый черенок около 15см;ficus_curly.jpg;
14;Ficus Benjamina "Denylight";Форма роста - дерево/куст. Листовая пластина среднего размера, окрашена в тёмно зелёный цвет. По центральной жилке ярко-салатовые мазки.;25;укоренённый черенок около 15см;ficus_denylight.jpg;
15;Ficus Benjamina "Golden King";Форма роста - дерево/куст. Листья около 7 см. Листовая пластина тёмно-зелёная, по краю светло-травянистый кант. Центральная жилка салатовая. Темп роста быстрый.;-;временно нет;golden_king.jpg;
16;Ficus Benjamina "Golden Monique";Форма роста - дерево/куст. Листовая пластина среднего размера, окрашена в ярко салатовый цвет. По центральной жилке вкрапления тёмнозелёного цвета. Край листа очень волнистый.;-;временно нет;ficus_golden_monique.jpg;
17;Ficus Benjamina "Kinky";Форма роста - дерево/куст. Мелколистная форма фикуса. Листья около 2,5 см. окрашены в зелёный цвет с салатово-белыми мазками по краю. При сильном притенении теряет пестролистность.;20;укоренённый черенок около 15см;ficus_kinky.jpg;
18;Ficus Benjamina "Nicole";Форма роста - дерево/куст. Мелколистный сорт.Листья зелёные широкой белой окантовкой.  Темп роста средний;-;временно нет;ficus_nicole.jpg;
19;Ficus Benjamina "Nina";Форма роста - дерево/куст.  Мелколистный сорт. Листовая пластина вытянутой формы,окрашена в зелёный цвет, по краю тонкая белая кайма.;-;временно нет;ficus_nina.jpg;
20;Ficus Benjamina "Regidan";Форма роста - дерево/куст. Листовая пластина среднего размера, овальная, окрашена в насыщенный зелёный цвет. По краю листа широкий ярко зелёный кант.;-;временно нет;ficus_regidan.jpg;
21;Ficus Benjamina "Reginald";Форма роста - дерево/куст. Листовая пластина меньше среднего. Окрашена я яркий салатовый цвет. По центральной жилке изумрудно-зелёные штрихи.;-;временно нет;ficus_reginald.jpg;
22;Ficus Benjamina "Safari";Форма роста - дерево/куст. Листья около 5см. Поверхность листа покрыта частыми белыми мазками. Очень эффектный сорт.;-;временно нет;ficus_safari.jpg;
23;Ficus Benjamina "Starlight";Форма роста - дерево/куст.Очень яркий сорт. Листья около 6 см, имеют широкую яркую белую или кремовую полосу по краю. Темп роста выше среднего. Теневынослив;-;временно нет;ficus_starlight.jpg;
24;Ficus Retusa variegated;новинка! Форма роста - дерево/куст. Листья около 5см, почти полностью цвета топлёного молока. По центру зелёная полоса. Темп роста ниже среднего. Светолюбив. Не выносит прямого солнечного света;-;временно нет;retusa_variegated.jpg;
25;Ficus Triangularis "Coconut cream";новинка! Форма роста - дерево/куст. Листья треугольные, около 5 см, окрашены в кремово-зелёные тона. Темп роста ниже среднего. Светолюбив. Не выносит прямого солнечного света;-;временно нет;ficus_triagl_var.jpg;
26;Maranta Bicolor;новинка! Ворма роста куст/лиана. Темп роста средний. Листья глянцевые, не опушенные.По центру широкая светлая полоса. Очень декоративный сорт. Нуждается в притенении и опрыскиваниях;150; укоренённый черенок;maranta_bicolor.jpg;
27;Maranta Leuconeura;Ворма роста куст/лиана. Темп роста быстрый. Растение нуждается в опоре. Листья крупные, около 12-15см,бархатичтые, очень глубокого зелёного цвета с практически белой центральной жилкой. Нуждается в притенении и опрыскиваниях;50; укоренённый черенок;maranta_leuconeura.jpg;
28;Maranta Leuconeura f. Erythroneura;Ворма роста куст/лиана. Темп роста быстрый. Листья овальные, около 12см, окрашены в интенсивно зелёный цвет с контрастными красными прожилками. Нуждается в притенении и опрыскиваниях;35; укоренённый черенок;leuconeura_var_erythroneura.jpg;
29;Maranta Leuconeura f. leuconeura "Emerald Beauty";новинка! Ворма роста куст/лиана. Темп роста средний. Листья изумрудно-зелёные. Глянцевые, по центру широкая серебристо-белая полоса. Очень декоративный сорт. Нуждается в притенении и опрыскиваниях;70;временно нет;emerald_beauty.jpg;
30;Maranta Leuconeura f. Massangeana;Ворма роста куст/лиана. Темп роста выше среднего. Листья около 12 см, бархатистые, тёмно-зелёные с практически чёрным центром и белой широкой полосой по центральной жилке. Нуждается в притенении и опрыскиваниях;-;временно нет;massangeana.jpg;
31;Maranta Leuconeura var. Kerchoveana "Beauty Kim";новинка! Форма роста куст/лиана. Темп роста средний. Интереснгая пестролистная форма маранты. Листья овальные, около 10. Нуждается в притенении и опрыскиваниях;-;временно нет;beauty_kim.jpg;
32;Monstera Adansonii Schott;Форма роста лиана. Темп роста выше среднего. Листовые пластины ярко-зелёные, вытянутые. С возрастом размер листьев увеличивается, форма листьев несколько меняется. Растение выглядит ажурным, за счёт большого количества отверстий на поверхности листьев.;50; укоренённый черенок;monstera_adansonii.jpg;
33;Monstera Karstenianum;Форма роста лиана. Темп роста выше среднего. Листья тёмно-зелёные, фактурые. Покрыты выпуклостями. Растение нуждается в опоре. Теневынослиивый сорт.;-;временно нет;monstera_karstenianum.jpg;
34;Monstera Siltepecana El Salvadore;новинка! ;-;временно нет;monstera_siltepecana_el_salvadore.jpg;
35;Monstera Silver Leaf;новинка! ;-;временно нет;monstera_silver_leaf.jpg;
36;Monstera sp.(T02);новинка! ;-;временно нет;monstera_sp_T02.jpg;
37;Monstera Spiderman;новинка! ;-;временно нет;monstera_spiderman.jpg;
38;Monstera Tenuis;новинка! ;-;временно нет;monstera_tenuis.jpg;
39;Philidendrum Melanochrysum Andreanum;Форма роста лиана. Темп роста средний. Листья чёрные, бархатистые, имеют золотистую центральную жилку. Листья молодых растений сильно отличаются по форме и размеру от взрослых экземпляров.;100; укоренённый черенок;phil_andreanum.jpg;
40;Philodendron "Black Cardinal" variegated;новинка! Форма роста лиана/куст. Темп роста ниже среднего. Новинка селекции!;-;временно нет;phil_black_cordinal_var.jpg;
41;Philodendron "Hastatum" variegated;Листья в форме вытянутого сердца неправильной формы. Основной цвет зелёный, большая часть листа залита салатово-жёлтым цветом.;-;временно нет;phil_hastatum_var.jpg;
42;Philodendron Hederaceum "Lemon-Lime ";Форма роста лиана. Молодые листья оранжево-коричневые. С возрастом приобретают салатовый цвет. Листовая пластина около 5 см. Самый маленький и неприхотливый в роду, может расти даже при неблагоприятных условиях;50; укоренённый черенок;phil_lemon_lime.jpg;
43;Philodendron "Lime Fiddle";Листья крупные, тёмно зелёные, покрыты частым лимонно-жёлтым крапом и штрихами. При хорошем освещении крап становится более частым и ярким.;150; укоренённый черенок;phil_lime_fiddle.jpg;
44;Philodendron Micans;Форма роста лиана. Листовые пластинки до 10 см длиной и 5 см шириной, бархатные, тёмные, коричнево-зелёные, молодые красноватые.В содержании растение крайне неприхотливо. Прекрасно растёт в комнатных условиях, хорошо переносит слабую освещённость.;35; укоренённый черенок;phil_micans.jpg;
45;Philodendron "Ornatum";новинка! Форма роста лиана. Листовые пластинки нежные, зелёные с серебристым рисунком. Черешки тёмно- красные. молодые листья этого филодендрона имеют яйцевидную форму и размер около 5-7 см длиной и 4-5 см шириной ;-;временно нет;phil_ornatum.jpg;
46;Philodendron "Pink Princess";Листья свекольного цвета, покрыты частыми розовыми мазками.;150;укоренённый черенок;phil_pink_princess.jpg;
47;Philodendron Scandens;Форма роста лиана. Быстрый темп роста. Сердцевидные глянцевые листья в молодом возрасте имеют бронзовый оттенок, со временем, зеленеют. Длина каждой листовой пластины может составлять 5-10 см.;25; укоренённый черенок;phil_scandens.jpg;
48;Philodendron Scandens "Mediopicta";Форма роста лиана. Темп роста средний. В уходе очень неприхотлив, но в отличии от зелёной формы более светолюбив.;40; укоренённый черенок;phil_mediopicta.jpg;
49;Scindapsus Aureum;Форма роста лиана. Темп роста быстрый.Длина молодых овальных и заостренных листьев сциндапсуса около 10 см, окрашены в ярко-зеленый цвет и покры­ты желтыми пятнами.Неприхотлив.;15; укоренённый черенок;scind_aureum.jpg;
50;Scindapsus "Marble Queen";Форма роста лиана. Темп роста средний. Большая часть листовой пластинки серебристо-белая, с небольшим количеством зеленых штрихов. Листовые пластина около 10 см;40; укоренённый черенок;scind_marble_queen.jpg;
51;Scindapsus Neon;Форма роста лиана. Темп роста быстрый. Листья лимонного цвета с редкими  тёмнозелёными мазками . Любит рассеяный свет или полутень, беречь от прямых солнечных лучей. Полив летом обильный, зимой умеренный.;35; укоренённый черенок;scind_neon.jpg;
52;Scindapsus Pictus;Форма роста лиана. Темп роста средний. Листовая пластина тёмнозелёная, около 7 см, покрыта мелкими, правильными в очертании, серебрянымии пятнами пятнами.;35; укоренённый черенок;scind_pictus.jpg;
53;Scindapsus Pictus "Argyraeus";Форма роста лиана. Темп роста быстрый. Листья почти сидячие (черешок не превышает 2-3 см), пластинка кожистая, яйцевидная, длиной до 10-16 см, шириной 5-8 см, сверху темно-зеленая с размытыми серебристыми пятнами.;50; укоренённый черенок;scind_pictus_argyraeus.jpg;
